countryisocode,year,xlong,ylat,lny,lns,lnngd,ltrade
"EGY",1952,31.25,30.08,7.832782,-2.647389,-2.688493,21.07757
"ESP",1952,-3.69,40.44,9.333998,-1.830244,-2.838324,20.03139
"ETH",1952,38,9.03,6.539819,-3.152164,-2.79631,18.23164
"FIN",1952,24.98,60.2,9.516299,-1.224526,-2.964366,20.29205
"FRA",1952,2.43,48.88,9.711906,-1.762604,-2.971501,22.12502
"GBR",1952,-.18,51.49,9.896701,-2.214542,-2.939864,22.90126
"GRC",1952,23.65,38.12,9.071441,-2.048567,-2.80418,19.49628
"GTM",1952,-90.52,14.62,8.916102,-2.078055,-2.583231,19.76708
"HND",1952,-87.2,14.1,8.782391,-1.554133,-2.594245,19.7591
"IND",1952,77.22,28.57,7.313031,-2.413128,-2.769192,21.67079
"IRL",1952,-6.26,53.34,9.586998,-1.673708,-3.24725,19.88112
"ISR",1952,34.86,31.92,9.510999,-1.030321,-1.981494,19.07391
"ITA",1952,12.52,41.88,9.393258,-1.478473,-3.004325,21.62851
"JPN",1952,139.81,35.68,8.893961,-1.847073,-2.625653,21.11178
"KEN",1952,36.83,-1.17,7.832043,-1.791281,-2.599245,19.49734
"LKA",1952,80.09,7.02,7.465892,-1.290338,-2.525463,20.40491
"MAR",1952,-6.75,33.92,7.868219,-.8763356,-2.549774,20.27059
"MEX",1952,-99.13,19.43,9.569643,-1.597814,-2.636289,21.29972
"MUS",1952,59.57,-20.1,9.02697,-1.406219,-2.545447,18.32732
"NGA",1952,3.3,6.45,8.15422,-2.474162,-2.694443,20.71844
"NIC",1952,-86.27,12.15,8.988878,-1.780791,-2.596347,18.02402
"NLD",1952,4.89,52.37,10.09197,-1.8967,-2.979178,21.66204
"NOR",1952,10.72,59.93,10.05761,-1.137951,-2.969933,20.88149
"NZL",1952,175.14,-41.21,10.28286,-1.698244,-2.635677,20.20654
"PAK",1952,73.06,33.72,7.496841,-2.645791,-2.829711,20.7075
"PAN",1952,-79.4,8.95,8.605897,-2.037992,-2.633963,19.34785
"PER",1952,-76.82,-12.07,9.042621,-.6696361,-2.664967,20.46625
